"title"	"code"	"type"	"last update of data"	"last table structure change"	"data start"	"data end"	"values"
"                            Overcrowding rate by household type - total population - EU-SILC survey"	"ilc_lvho05b"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	13158
"                            Overcrowding rate by tenure status - total population - EU-SILC survey"	"ilc_lvho05c"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	2784
"                            Overcrowding rate by degree of urbanisation - total population - EU-SILC survey"	"ilc_lvho05d"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	2080
"                            Overcrowding rate by income quintile - total population - EU-SILC survey"	"ilc_lvho05q"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	4392
"                            Overcrowding rate by age, sex and poverty status - population without single-person households - EU-SILC survey"	"ilc_lvho06"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	80370
"                            Overcrowding rate by income quintile - population without single-person households - EU-SILC survey"	"ilc_lvho06q"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	4392
"                            Overcrowding rate by age, sex and group of citizenship (total population aged 18 and over)"	"ilc_lvho15"	"dataset"	"22.03.2024"	"05.02.2024"	"2003"	"2023"	145716
"                            Overcrowding rate by age, sex and group of country of birth (total population aged 18 and over)"	"ilc_lvho16"	"dataset"	"22.03.2024"	"05.02.2024"	"2003"	"2023"	145428
"                        Under-occupied dwellings"	"ilc_lvho_uo"	"folder"	" "	" "	" "	" "	
"                            Share of people living in under-occupied dwellings by age, sex and poverty status - total population - EU-SILC survey"	"ilc_lvho50a"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	26316
"                            Share of people living in under-occupied dwellings by household type and income quintile - total population - EU-SILC survey"	"ilc_lvho50b"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	39474
"                            Share of people living in under-occupied dwellings by tenure status - total population - EU-SILC survey"	"ilc_lvho50c"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	2193
"                            Share of people living in under-occupied dwellings by degree of urbanisation - total population - EU-SILC survey"	"ilc_lvho50d"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	2077
"                        Housing cost burden"	"ilc_lvho_hc"	"folder"	" "	" "	" "	" "	
"                            Housing cost overburden rate by age, sex and poverty status - EU-SILC survey"	"ilc_lvho07a"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	109899
"                            Housing cost overburden rate by income quintile - EU-SILC survey"	"ilc_lvho07b"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	3590
"                            Housing cost overburden rate by tenure status - EU-SILC survey"	"ilc_lvho07c"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	3455
"                            Housing cost overburden rate by degree of urbanisation - EU-SILC survey"	"ilc_lvho07d"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	2038
"                            Housing cost overburden rate by household type - EU-SILC survey"	"ilc_lvho07e"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	12906
"                            Median of the housing cost burden distribution by age, sex and poverty status - EU-SILC survey"	"ilc_lvho08a"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	25992
"                            Median of the housing cost burden distribution by degree of urbanisation - EU-SILC survey"	"ilc_lvho08b"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	2053
"                            Housing cost overburden rate by age, sex and group of citizenship (total population aged 18 and over)"	"ilc_lvho25"	"dataset"	"22.03.2024"	"05.02.2024"	"2003"	"2023"	142980
"                            Housing cost overburden rate by age, sex and group of country of birth (total population aged 18 and over)"	"ilc_lvho26"	"dataset"	"22.03.2024"	"05.02.2024"	"2003"	"2023"	143124
"                            Distribution of population by housing cost burden and sex"	"ilc_lvho27"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	10755
"                            Distribution of population by housing cost burden and tenure status"	"ilc_lvho28"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	13755
"                            Distribution of population by housing cost burden and degree of urbanisation"	"ilc_lvho29"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	10195
"                            Distribution of population by housing cost burden and household type"	"ilc_lvho30"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	14280
"                        Distribution of population by degree of urbanisation, dwelling type and income group - EU-SILC survey"	"ilc_lvho01"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	66624
"                        Distribution of population by tenure status, type of household and income group - EU-SILC survey"	"ilc_lvho02"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	247401
"                        Average number of rooms per person by tenure status and dwelling type from 2003 onwards - EU-SILC survey"	"ilc_lvho03"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	8712
"                        Average number of rooms per person by tenure status and dwelling type until 2001 - ECHP survey"	"ilc_lvho03h"	"dataset"	"04.11.2009"	"21.12.2023"	"1994"	"2001"	1691
"                        Average number of rooms per person by type of household and income group from 2003 - EU-SILC survey"	"ilc_lvho04"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	37077
"                        Average number of rooms per person by degree of urbanization"	"ilc_lvho04d"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	2776
"                        Average number of rooms per person by type of household and income group until 2001 - ECHP survey"	"ilc_lvho04h"	"dataset"	"04.11.2009"	"21.12.2023"	"1994"	"2001"	6667
"                        Average number of rooms per person by NUTS region"	"ilc_lvho04n"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	3508
"                    Childcare arrangements"	"ilc_ca"	"folder"	" "	" "	" "	" "	
"                        Children in formal childcare or education by age group and duration - % over the population of each age group - EU-SILC survey"	"ilc_caindformal"	"dataset"	"22.03.2024"	"02.02.2024"	"2005"	"2023"	5598
"                            Formal child care by duration and age group"	"tps00185"	"table"	"22.03.2024"	"22.03.2024"	"2012"	"2023"	2448
"                        Children in formal childcare or education by age group, duration and risk of poverty or social exclusion- EU-SILC survey"	"ilc_caindform25"	"dataset"	"22.03.2024"	"02.02.2024"	"2015"	"2023"	10620
"                        Children in formal childcare or education by age group, duration and income quintile - EU-SILC survey"	"ilc_caindform25q"	"dataset"	"22.03.2024"	"02.02.2024"	"2015"	"2023"	21096
"                        Average number of weekly hours of formal care by age group - children with or without formal care - EU-SILC survey"	"ilc_camnforall"	"dataset"	"26.03.2024"	"02.02.2024"	"2005"	"2023"	2021
"                        Average number of weekly hours of formal care by age group - children with at least 1 hour of formal care - EU-SILC survey"	"ilc_camnforg0"	"dataset"	"26.03.2024"	"02.02.2024"	"2005"	"2023"	2012
"                        Median number of weekly hours of formal care by age group - children with at least 1 hour of formal care - EU-SILC survey"	"ilc_camdforg0"	"dataset"	"26.03.2024"	"02.02.2024"	"2005"	"2023"	2014
"                        Other types of childcare by age group and duration - % over the population of each age group - EU-SILC survey"	"ilc_caindother"	"dataset"	"26.03.2024"	"02.02.2024"	"2005"	"2023"	6026
"                        Average number of weekly hours of other types of care by age group - children with or without other types of care - EU-SILC survey"	"ilc_camnothall"	"dataset"	"26.03.2024"	"02.02.2024"	"2005"	"2023"	2021
"                        Average number of weekly hours of other types of care by age group - children with at least one hour of other types of care - EU-SILC survey"	"ilc_camnothg0"	"dataset"	"26.03.2024"	"02.02.2024"	"2005"	"2023"	1983
"                        Median number of weekly hours of other types of care by age group - children with at least one hour of other types of care - EU-SILC survey"	"ilc_camdothg0"	"dataset"	"26.03.2024"	"02.02.2024"	"2005"	"2023"	1983
"                        Children cared only by their parents by age group - % over the population of each age group - EU-SILC survey"	"ilc_caparents"	"dataset"	"26.03.2024"	"02.02.2024"	"2005"	"2023"	1742
"                    Subjective poverty"	"ilc_sbjp"	"folder"	" "	" "	" "	" "	
"                        Subjective poverty by sex and age"	"ilc_sbjp01"	"dataset"	"22.03.2024"	"02.02.2024"	"2010"	"2023"	5808
"                        Subjective poverty by educational attainment level (population aged 18 and over)"	"ilc_sbjp02"	"dataset"	"26.03.2024"	"02.02.2024"	"2010"	"2023"	1936
"                        Subjective poverty by most frequent activity status (population aged 18 and over)"	"ilc_sbjp03"	"dataset"	"22.03.2024"	"02.02.2024"	"2010"	"2023"	3872
"                        Subjective poverty by tenure status"	"ilc_sbjp04"	"dataset"	"22.03.2024"	"02.02.2024"	"2010"	"2023"	2415
"                        Subjective poverty by degree of urbanization"	"ilc_sbjp05"	"dataset"	"22.03.2024"	"02.02.2024"	"2010"	"2023"	1368
"                Material deprivation"	"ilc_md"	"folder"	" "	" "	" "	" "	
"                    Material and social deprivation"	"ilc_mdsd"	"folder"	" "	" "	" "	" "	
"                        Material and social deprivation rate by age, sex and most frequent activity status"	"ilc_mdsd01"	"dataset"	"22.03.2024"	"02.02.2024"	"2014"	"2023"	213738
"                        Material and social deprivation rate by income quintile and household type"	"ilc_mdsd02"	"dataset"	"22.03.2024"	"02.02.2024"	"2014"	"2023"	42972
"                        Material and social deprivation rate by age, sex and educational attainment level"	"ilc_mdsd03"	"dataset"	"26.03.2024"	"02.02.2024"	"2014"	"2023"	122136
"                        Material and social deprivation rate by age, sex and group of citizenship"	"ilc_mdsd04"	"dataset"	"22.03.2024"	"02.02.2024"	"2014"	"2023"	162471
"                        Material and social deprivation rate by age, sex and group of country of birth"	"ilc_mdsd05"	"dataset"	"22.03.2024"	"02.02.2024"	"2014"	"2023"	181584
"                        Material and social deprivation rate by tenure status"	"ilc_mdsd06"	"dataset"	"22.03.2024"	"02.02.2024"	"2014"	"2023"	1867
"                        Material and social deprivation rate by age and sex"	"ilc_mdsd07"	"dataset"	"22.03.2024"	"02.02.2024"	"2014"	"2023"	45237
"                        Material and social deprivation rate by NUTS regions"	"ilc_mdsd08"	"dataset"	"22.03.2024"	"02.02.2024"	"2014"	"2023"	1857
"                        Material and social deprivation rate by degree of urbanisation"	"ilc_mdsd09"	"dataset"	"22.03.2024"	"02.02.2024"	"2014"	"2023"	1440
"                        Material and social deprivation rate for children by age and educational attainment level of their parents"	"ilc_mdsd10"	"dataset"	"26.03.2024"	"02.02.2024"	"2014"	"2023"	11130
"                        Severe material and social deprivation rate by age and sex"	"ilc_mdsd11"	"dataset"	"22.03.2024"	"02.02.2024"	"2014"	"2023"	69355
"                            Severe material and social deprivation rate"	"tespm030"	"table"	"22.03.2024"	"22.03.2024"	"2014"	"2023"	313
"                        Severe material and social deprivation by income quantile and household composition"	"ilc_mdsd13"	"dataset"	"15.03.2024"	"02.02.2024"	"2019"	"2023"	18126
"                        Severe material and social deprivation by age, sex and group of citizenship"	"ilc_mdsd15"	"dataset"	"22.03.2024"	"02.02.2024"	"2015"	"2023"	93843
"                        Severe material and social deprivation by age, sex and group of country of birth"	"ilc_mdsd16"	"dataset"	"22.03.2024"	"02.02.2024"	"2015"	"2023"	93762
"                        Severe material and social deprivation by NUTS region"	"ilc_mdsd18"	"dataset"	"22.03.2024"	"02.02.2024"	"2015"	"2023"	1983
"                        Material and social deprivation rate by number of items of deprivation - EU-SILC survey"	"ilc_sip8"	"dataset"	"22.03.2024"	"02.02.2024"	"2015"	"2023"	266868
"                            Material Deprivation rate by sex - EU-SILC survey"	"tessi080"	"table"	"22.03.2024"	"22.03.2024"	"2015"	"2023"	882
"                            Material Deprivation rate by age group - EU-SILC survey"	"tessi082"	"table"	"22.03.2024"	"22.03.2024"	"2015"	"2023"	1176
"                        Mean number of deprivation items among the deprived - EU-SILC survey"	"ilc_sis4"	"dataset"	"22.03.2024"	"02.02.2024"	"2015"	"2023"	3609
"                            Depth of material deprivation - EU-SILC survey"	"tessi150"	"table"	"22.03.2024"	"22.03.2024"	"2015"	"2023"	303
"                    Material deprivation by dimension"	"ilc_mddd"	"folder"	" "	" "	" "	" "	
"                        Material deprivation for the 'Economic strain' dimension, by number of item of deprivation - EU-SILC survey"	"ilc_mddd01"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	222156
"                        Material deprivation for the 'Durables' dimension, by number of item of deprivation - EU-SILC survey"	"ilc_mddd02"	"dataset"	"22.03.2024"	"21.12.2023"	"2003"	"2021"	195534
"                        Material deprivation for the 'Economic strain' and 'Durables' dimensions, by number of item of deprivation - EU-SILC survey"	"ilc_mddd03"	"dataset"	"22.03.2024"	"21.12.2023"	"2003"	"2021"	195228
"                        Material deprivation for the 'Housing' dimension, by household type, poverty status and by number of items of deprivation - EU-SILC survey"	"ilc_mddd04a"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	165495
"                        Material deprivation for the 'Housing' dimension, by age, sex and by number of item of deprivation - EU-SILC survey"	"ilc_mddd04b"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	38940
"                        Material deprivation for the 'Environment' dimension, by number of item of deprivation - EU-SILC survey"	"ilc_mddd05"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	132396
"                        Severe material deprivation rate by age and sex"	"ilc_mddd11"	"dataset"	"22.03.2024"	"03.01.2024"	"2003"	"2020"	132654
"                        Severe material deprivation rate by most frequent activity status (population aged 18 and over)"	"ilc_mddd12"	"dataset"	"22.03.2024"	"21.12.2023"	"2003"	"2020"	217575
"                        Severe material deprivation rate by income quintile and household type"	"ilc_mddd13"	"dataset"	"22.03.2024"	"03.01.2024"	"2003"	"2020"	73967
"                        Severe material deprivation rate by educational attainment level (population aged 18 and over)"	"ilc_mddd14"	"dataset"	"22.03.2024"	"21.12.2023"	"2003"	"2020"	115740
"                        Severe material deprivation rate by group of citizenship (population aged 18 and over)"	"ilc_mddd15"	"dataset"	"22.03.2024"	"21.12.2023"	"2003"	"2020"	127908
"                        Severe material deprivation rate by group of country of birth (population aged 18 and over)"	"ilc_mddd16"	"dataset"	"22.03.2024"	"21.12.2023"	"2003"	"2020"	181047
"                        Severe material deprivation rate by tenure status"	"ilc_mddd17"	"dataset"	"22.03.2024"	"03.01.2024"	"2003"	"2020"	3077
"                        Severe material deprivation rate by NUTS regions"	"ilc_mddd21"	"dataset"	"22.03.2024"	"10.01.2024"	"2003"	"2020"	3057
"                            Severe material deprivation rate by NUTS 2 regions"	"tgs00104"	"table"	"22.03.2024"	"22.03.2024"	"2009"	"2020"	1518
"                        Severe material deprivation rate by degree of urbanisation"	"ilc_mddd23"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	4164
"                        Severe material deprivation rate for children by educational attainment level of their parents (population aged 0 to 17 years)"	"ilc_mddd60"	"dataset"	"22.03.2024"	"26.01.2024"	"2003"	"2020"	7782
"                    Child specific material deprivation"	"ilc_chmd"	"folder"	" "	" "	" "	" "	
"                        Child specific material deprivation rate by age (children aged less than 16 years)"	"ilc_chmd01"	"dataset"	"03.08.2023"	"03.08.2023"	"2021"	"2021"	174
"                        Child specific material deprivation rate by household composition (children aged less than 16 years)"	"ilc_chmd02"	"dataset"	"03.08.2023"	"03.08.2023"	"2021"	"2021"	203
"                        Child specific material deprivation rate by educational attainment level of their parents (children aged less than 16 years)"	"ilc_chmd03"	"dataset"	"03.08.2023"	"03.08.2023"	"2021"	"2021"	116
"                        Mean number of deprivation items among the children deprived (children aged less than 16 years)"	"ilc_chmd04"	"dataset"	"03.08.2023"	"03.08.2023"	"2021"	"2021"	29
"                    Economic strain"	"ilc_mdes"	"folder"	" "	" "	" "	" "	
"                        Inability to keep home adequately warm - EU-SILC survey"	"ilc_mdes01"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	37026
"                        Inability to afford paying for one week annual holiday away from home - EU-SILC survey"	"ilc_mdes02"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	37060
"                        Inability to afford a meal with meat, chicken, fish (or vegetarian equivalent) every second day - EU-SILC survey"	"ilc_mdes03"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	37060
"                        Inability to face unexpected financial expenses - EU-SILC survey"	"ilc_mdes04"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	37060
"                        Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards - EU-SILC survey"	"ilc_mdes05"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	36958
"                        Arrears (mortgage or rent, utility bills or hire purchase) until 2001 - ECHP survey"	"ilc_mdes05h"	"dataset"	"09.06.2009"	"03.01.2024"	"1994"	"2001"	14564
"                        Arrears on mortgage or rent payments - EU-SILC survey"	"ilc_mdes06"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	37026
"                        Arrears on utility bills - EU-SILC survey"	"ilc_mdes07"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	37026
"                        Arrears on hire purchase instalments or other loan payments - EU-SILC survey"	"ilc_mdes08"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	36924
"                        Inability to make ends meet - EU-SILC survey"	"ilc_mdes09"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	222054
"                        Persons who cannot afford to get-together with friends or family (relatives) for a drink or meal at least once a month by age, sex and income group"	"ilc_mdes10a"	"dataset"	"22.03.2024"	"02.02.2024"	"2014"	"2023"	62667
"                        Persons who cannot afford to get-together with friends or family (relatives) for a drink or meal at least once a month by employment status and income quintile"	"ilc_mdes10b"	"dataset"	"22.03.2024"	"02.02.2024"	"2014"	"2023"	18096
"                        Persons who cannot afford to regularly participate in a leisure activity by age, sex and income group"	"ilc_mdes11a"	"dataset"	"22.03.2024"	"02.02.2024"	"2014"	"2023"	62667
"                        Persons who cannot afford to regularly participate in a leisure activity by employment status and income quintile"	"ilc_mdes11b"	"dataset"	"22.03.2024"	"02.02.2024"	"2014"	"2023"	18096
"                        Persons who cannot afford to spend a small amount of money each week on themselves by age, sex and income group"	"ilc_mdes12a"	"dataset"	"22.03.2024"	"02.02.2024"	"2014"	"2023"	58365
"                        Persons who cannot afford to spend a small amount of money each week on themselves by employment status and income quintile"	"ilc_mdes12b"	"dataset"	"22.03.2024"	"02.02.2024"	"2014"	"2023"	18096
"                        Persons who cannot afford a regular use of public transport by age, sex and income group"	"ilc_mdes13a"	"dataset"	"27.06.2023"	"03.01.2024"	"2014"	"2016"	6588
"                        Persons who cannot afford a regular use of public transport by employment status and income quintile"	"ilc_mdes13b"	"dataset"	"27.06.2023"	"03.01.2024"	"2014"	"2016"	2064
"                    Economic strain linked to dwelling"	"ilc_mded"	"folder"	" "	" "	" "	" "	
"                        Share of housing costs in disposable household income, by type of household and income group - EU-SILC survey"	"ilc_mded01"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	36618
"                        Share of rent related to occupied dwelling in disposable household income, by type of household and income group - EU-SILC survey"	"ilc_mded02"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	36924
"                        Total housing costs in pps - EU-SILC survey"	"ilc_mded03"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	109854
"                        Financial burden of the total housing cost - EU-SILC survey"	"ilc_mded04"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	99297
"                        Financial burden of the repayment of debts from hire purchases or loans - EU-SILC survey"	"ilc_mded05"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	110925
"                    Durables"	"ilc_mddu"	"folder"	" "	" "	" "	" "	
"                        Persons who cannot afford a telephone - EU-SILC survey"	"ilc_mddu01"	"dataset"	"27.10.2023"	"03.01.2024"	"2003"	"2021"	31110
"                        Persons who cannot afford a colour TV - EU-SILC survey"	"ilc_mddu02"	"dataset"	"27.10.2023"	"03.01.2024"	"2003"	"2021"	31059
"                        Persons who cannot afford a computer - EU-SILC survey"	"ilc_mddu03"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	36992
"                        Persons who cannot afford a washing machine - EU-SILC survey"	"ilc_mddu04"	"dataset"	"27.10.2023"	"03.01.2024"	"2003"	"2021"	31110
"                        Persons who cannot afford a personal car - EU-SILC survey"	"ilc_mddu05"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	36975
"                        Persons who cannot afford to replace worn-out clothes by some new (not second-hand) ones by age, sex and income group"	"ilc_mddu06a"	"dataset"	"22.03.2024"	"02.02.2024"	"2014"	"2023"	58032
"                        Persons who cannot afford to replace worn-out clothes by some new (not second-hand) ones by employment status and income quintile"	"ilc_mddu06b"	"dataset"	"22.03.2024"	"02.02.2024"	"2014"	"2023"	18096
"                        Persons who cannot afford internet connection for personal use at home by age, sex and income group"	"ilc_mddu07a"	"dataset"	"22.03.2024"	"02.02.2024"	"2014"	"2023"	58365
"                        Persons who cannot afford internet connection for personal use at home by employment status and income quintile"	"ilc_mddu07b"	"dataset"	"22.03.2024"	"02.02.2024"	"2014"	"2023"	18096
"                    Housing deprivation"	"ilc_mdho"	"folder"	" "	" "	" "	" "	
"                        Persons who cannot afford to replace worn-out furniture by income group and type of household"	"ilc_mdho07"	"dataset"	"22.03.2024"	"02.02.2024"	"2014"	"2023"	19431
"                        Severe housing deprivation rate by age, sex and poverty status - EU-SILC survey"	"ilc_mdho06a"	"dataset"	"22.03.2024"	"03.01.2024"	"2003"	"2020"	87354
"                        Severe housing deprivation rate by household type - EU-SILC survey"	"ilc_mdho06b"	"dataset"	"22.03.2024"	"03.01.2024"	"2003"	"2020"	11538
"                        Severe housing deprivation rate by tenure status - EU-SILC survey"	"ilc_mdho06c"	"dataset"	"22.03.2024"	"03.01.2024"	"2003"	"2020"	9280
"                        Severe housing deprivation rate by degree of urbanisation - EU-SILC survey"	"ilc_mdho06d"	"dataset"	"22.03.2024"	"03.01.2024"	"2003"	"2020"	1756
"                        Severe housing deprivation rate by income quintile - EU-SILC survey"	"ilc_mdho06q"	"dataset"	"22.03.2024"	"03.01.2024"	"2003"	"2020"	3768
"                        Total population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor - EU-SILC survey"	"ilc_mdho01"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	397188
"                        Children (aged 0 to 17) living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor - EU-SILC survey"	"ilc_mdho01c"	"dataset"	"22.03.2024"	"06.02.2024"	"2003"	"2023"	7788
"                        Total population having neither a bath, nor a shower in their dwelling - EU-SILC survey"	"ilc_mdho02"	"dataset"	"22.03.2024"	"06.02.2024"	"2003"	"2023"	391068
"                        Children (aged 0 to 17) having neither a bath, nor a shower in their dwelling - EU-SILC survey"	"ilc_mdho02c"	"dataset"	"22.03.2024"	"06.02.2024"	"2003"	"2023"	2556
"                        Total population not having indoor flushing toilet for the sole use of their household - EU-SILC survey"	"ilc_mdho03"	"dataset"	"22.03.2024"	"06.02.2024"	"2003"	"2023"	391068
"                        Children (aged 0 to 17) not having indoor flushing toilet for the sole use of their household - EU-SILC survey"	"ilc_mdho03c"	"dataset"	"22.03.2024"	"06.02.2024"	"2003"	"2023"	2556
"                        Total population considering their dwelling as too dark - EU-SILC survey"	"ilc_mdho04"	"dataset"	"22.03.2024"	"06.02.2024"	"2003"	"2023"	396576
"                        Children (aged 0 to 17) living in households considering their dwelling as too dark - EU-SILC survey"	"ilc_mdho04c"	"dataset"	"22.03.2024"	"06.02.2024"	"2003"	"2023"	7764
"                        Total population having neither a bath, nor a shower, nor indoor flushing toilet in their household - EU-SILC survey"	"ilc_mdho05"	"dataset"	"22.03.2024"	"03.01.2024"	"2003"	"2020"	389232
"                    Environment of the dwelling"	"ilc_mddw"	"folder"	" "	" "	" "	" "	
"                        Noise from neighbours or from the street - EU-SILC survey"	"ilc_mddw01"	"dataset"	"22.03.2024"	"05.02.2024"	"2003"	"2023"	33048
"                        Pollution, grime or other environmental problems - EU-SILC survey"	"ilc_mddw02"	"dataset"	"22.03.2024"	"05.02.2024"	"2003"	"2023"	33048
"                        Crime, violence or vandalism in the area - EU-SILC survey"	"ilc_mddw03"	"dataset"	"22.03.2024"	"05.02.2024"	"2003"	"2023"	32997
"                        Noise from neighbours or from the street by degree of urbanisation"	"ilc_mddw04"	"dataset"	"22.03.2024"	"05.02.2024"	"2003"	"2023"	5571
"                        Pollution, grime or other environmental problems by degree of urbanisation"	"ilc_mddw05"	"dataset"	"22.03.2024"	"05.02.2024"	"2003"	"2023"	5571
"                        Crime, violence or vandalism in the area by degree of urbanisation"	"ilc_mddw06"	"dataset"	"22.03.2024"	"05.02.2024"	"2003"	"2023"	5562
"                EU-SILC modules"	"ilc_ahm"	"folder"	" "	" "	" "	" "	
"                    Living arrangements and conditions of children in separated and blended families (2021)"	"ilc_chsb"	"folder"	" "	" "	" "	" "	
"                        Children having one of their parents living outside the household"	"ilc_chsb01"	"dataset"	"27.10.2023"	"27.10.2023"	"2021"	"2021"	32
"                        Parents spending enough time with children living with them"	"ilc_chsb02"	"dataset"	"27.10.2023"	"27.10.2023"	"2021"	"2021"	32
"                    Over-indebtedness, consumption and wealth as  well as labour (2020)"	"ilc_odbt"	"folder"	" "	" "	" "	" "	
"                        Arrears on non-housing bills by risk of poverty threshold"	"ilc_odbt01"	"dataset"	"13.09.2023"	"13.09.2023"	"2020"	"2020"	99
"                        Arrears on non-housing bills by income quintile"	"ilc_odbt02"	"dataset"	"13.09.2023"	"13.09.2023"	"2020"	"2020"	198
"                        Loans (excluding mortgages on purchase of main residence) by risk of poverty threshold"	"ilc_odbt03"	"dataset"	"13.09.2023"	"13.09.2023"	"2020"	"2020"	99
"                        Loans (excluding mortgages on purchase of main residence) by income quintile"	"ilc_odbt04"	"dataset"	"13.09.2023"	"13.09.2023"	"2020"	"2020"	198
"                        Persons with loans for property purposes by risk of poverty threshold"	"ilc_odbt05"	"dataset"	"13.09.2023"	"13.09.2023"	"2020"	"2020"	99
"                        Persons with loans for transport purposes by risk of poverty threshold"	"ilc_odbt06"	"dataset"	"13.09.2023"	"13.09.2023"	"2020"	"2020"	99
"                        Persons with loans for education purposes by risk of poverty threshold"	"ilc_odbt07"	"dataset"	"13.09.2023"	"13.09.2023"	"2020"	"2020"	99
"                        Persons with loans to cover daily living expenses by risk of poverty threshold"	"ilc_odbt08"	"dataset"	"13.09.2023"	"13.09.2023"	"2020"	"2020"	99
"                        Persons with loans for purposes other than property, transport, education and daily living expenses by risk of poverty threshold"	"ilc_odbt09"	"dataset"	"13.09.2023"	"13.09.2023"	"2020"	"2020"	99
"                        Savings in a typical month by household habits and risk of poverty threshold"	"ilc_odbt10"	"dataset"	"13.09.2023"	"13.09.2023"	"2020"	"2020"	408
"                        Savings in a typical month by household habits and income quintile"	"ilc_odbt11"	"dataset"	"13.09.2023"	"13.09.2023"	"2020"	"2020"	816
"                        Persons owning real estate other than main residence by risk of poverty threshold"	"ilc_odbt12"	"dataset"	"13.09.2023"	"13.09.2023"	"2020"	"2020"	102
"                        Persons owning real estate other than main residence by income quantile"	"ilc_odbt13"	"dataset"	"13.09.2023"	"13.09.2023"	"2020"	"2020"	204
"                        Households maintaining the same standard of living using savings by duration and risk of poverty threshold"	"ilc_odbt14"	"dataset"	"13.09.2023"	"13.09.2023"	"2020"	"2020"	396
"                        Households maintaining the same standard of living using savings by duration and income quintile"	"ilc_odbt15"	"dataset"	"13.09.2023"	"13.09.2023"	"2020"	"2020"	792
"                    Intergenerational transmission of disadvantages (2019 and 2011)"	"ilc_igt"	"folder"	" "	" "	" "	" "	
"                        Transition of educational attainment level from parents to current adults (population aged 25 - 59)"	"ilc_igtp01"	"dataset"	"22.03.2024"	"03.01.2024"	"2011"	"2019"	2106
"                        Transition of ability to make ends meet from childhood to current situation (population aged 25 - 59)"	"ilc_igtp02"	"dataset"	"18.03.2019"	"03.01.2024"	"2011"	"2011"	468
"                        At-risk-of poverty rate for adults (aged 25 to 59 years) by educational attainment level of their parents"	"ilc_igtp03"	"dataset"	"21.11.2023"	"21.11.2023"	"2011"	"2019"	201
